Respondent ID,Collector ID,Start Date,End Date,Which CNCF Project(s) are you maintaining/working with?,Where are you based (part of the world)?,Do you feel that CNCF reached out to collaborate and gather info about your needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF staff responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.",,"Would you recommend CNCF to other open source projects, and why?10 - strongly agree, 1 - strongly disagree.",,"What diversity efforts could CNCF help out with for your initiatives (e.g., maintainers, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
,,,,Open-Ended Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Why?,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
13097682923,409521685,11/03/2021 07:40:47 PM,11/03/2021 07:44:24 PM,NA,Europe,"Yes, and my needs were generally met",,5,,10,,6,Well organized,build more clear scholarships workflow and process,"Need more visibility in Europ, more Global communication and also local communication",Local Sponsor,
13092895297,409521685,11/02/2021 10:11:57 AM,11/02/2021 10:20:55 AM,"Kubernetes, etcd, Prometheus, Flux",Asia,"Yes, and my needs were generally met",,3,,N/A,,10,Joining the CNCF ecosystem gives you a chance to be noticed by the masses.,scholarships,webinars,None,
13089044506,409521685,10/31/2021 07:37:28 PM,10/31/2021 08:34:24 PM,Kubernetes,North America,"Yes, and my needs were generally met",,10,,10,,10,"lots of very smart and kind people with some resources and budget, 100+ happy projects can't be wrong.",N\a,N\a,N\A. ,Love y'all! <3
13088899376,409521685,10/30/2021 06:57:47 PM,10/31/2021 06:14:00 PM,Communities,North America,"Yes, and my needs were generally met",,8,"Note, broken link on the ""Fashion a Phippy"" link. (https://github.com/foundation/blob/master/phippy-guidelines.md)",10,,9,"Very strong, and large active community of support.","Reach out and do more workshops at HBCUs? Support projects like HBCU20x20? The LF could prioritize hiring of URMs (last I heard numbers of LF and CNCF staff are very low for hiring LatinX, African-American, and Native American employees.",The webinar series and blogs are great for reach. But it's a long waiting list. Not sure what can be done though. Other than offering more spots per member? ,I'm not sure. I think they provide a lot.,It would be great if the monthly marketing meeting could be completed 30 mins (at least the agenda portion). If they started on time and jumped right in with the agenda we could save at least 10 minutes there. They could offer Q&A at the end for an extra 10 minutes if there's time but many people have to drop after 30 minutes and the meeting could be run more efficiently with a little more focus. The slides are provided so we don't need to walk through each one every meeting. We could focus on current events and be more efficient.
13086794854,409521685,10/29/2021 06:37:14 PM,10/30/2021 05:27:12 AM,"Fluent Bit, Kubernetes",Asia,"Yes, and my needs were generally met",,10,,10,,10,,Provide the basic infrastructure support for maintainers to develop and test.,Host more CNCF online and in-person events in China,Host internationalization services or program for projects especially for the Chinese projects,
13086508068,409521685,10/30/2021 02:01:04 AM,10/30/2021 02:04:49 AM,Kubernetes,North America,"Yes, and my needs were generally met",,6,,9,,8,Great Foundation,scholarships,n/a,n/a,
13086008100,409521685,10/29/2021 09:57:42 PM,10/29/2021 10:12:20 PM,Kubernetes,North America,"Yes, and my needs were generally met",,10,,10,,10,"The CNCF supports OSS projects better than any foundation or organization I've seen. If a project is looking to grow and has the desire and commitment to improve, the CNCF's support is unmatched.",I feel like the CNCF already supports diversity efforts better than any other org. ,Have a dedicated keynote slot that looks at 1-3 projects on the tech radar graphics and discuss said-projects place in the ecosystem or in business.,Help existing maintainers negotiate with their parent companies for dedicated time / support working in the OSS ecosystem.,"The CNCF needs to significantly ramp DOWN in the number of projects it onboards and supports. It's heavily perceived (and in my opinion, it's true) that large companies just open source projects for added / ""Free"" PR rather than to aid in the ecosystem. "
13085419143,409521685,10/29/2021 06:37:24 PM,10/29/2021 06:41:35 PM,Kubernetes,North America,Other (please specify),¯\_(ツ)_/¯ I don't understand the context of this question,7,,10,"With regards to the Ambassador program, yes.",9,The gravity of the ecosystem makes it silly for folks NOT to join,Support veterans and disabled veterans more,N/A,"I would say, less Phippy and Friends and more meaningful investments in finding folks to help out with projects.",
13085071391,409521685,10/29/2021 04:44:31 PM,10/29/2021 04:46:27 PM,-,Europe,"Yes, and my needs were generally met",,10,,10,,10,,scholarships,webinars,-,all good :) 
13084666966,409521685,10/29/2021 01:38:38 PM,10/29/2021 02:10:13 PM,"Many as an end user; kubernetes, prometheus, envoy, fluent-bit, jaeger, flux, opa, etc.",Europe,"Yes, and my needs were generally met",,9,,9,,9,,"atm, as a meetup organizer there's no immediate initiatives that CNCF could help out with in this regards, as we are affected by covid.",I don't think I have any needs atm,I'm not missing any,"Covid's been tough as a meetup organizer, but things are clearing up and i'm excited to get back promoting CNCF projects and sharing experiences locally."
13084054709,409521685,10/29/2021 08:02:00 AM,10/29/2021 08:03:56 AM,Kubernetes ,North America,"Yes, and my needs were generally met",,N/A,,10,,10,,"Scholarships, support for diversity days or lunches",Cloud Native TV ad placement,"Mentorship programs, leadership classes",
