Respondent ID,Collector ID,Start Date,End Date,Email Address,First Name,Last Name,Custom Data 1,Which CNCF Project are you contributing to/representing?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Where are you based (part of the world)?,"What is your feeling with respect to your overall experience with CNCF staff, where 10 is completely met expectations and 1 - did not meet expectations? *",Do you feel that CNCF reached out to collaborate and gather info about your needs? *,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF Speakers Bureau, CNCF Swag Store)?",Efficiency: Did you feel that the CNCF team responded quickly to your requests? Where 10 is work was completed on time or ahead of schedule and 1 is delayed? *,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
,,,,,,,,Kubernetes,Prometheus,OpenTracing,Fluentd,CoreDNS,containerd,rkt,gRPC,Linkerd,CNI,Envoy,Jaeger,TUF (The Update Framework),Notary,Rook,Vitess,NATS,SPIFFE,SPIRE,Open Policy Agent,CloudEvents,Telepresence,Helm,Harbor,OpenMetrics,TiKV,Cortex,Buildpacks,Falco,Dragonfly,Virtual Kubelet,etcd,Brigade,KubeEdge,Other (please specify),Response,Response,Response,Response,Response,Open-Ended Response
10650304707,227548242,04/09/2019 04:47:21 AM,04/09/2019 04:49:59 AM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,Harbor,,,,,,,,,,,,Oceania,9,Yes,10,10,APJ-friendly calls would be welcome.. :) 
10647405943,227548242,04/08/2019 03:11:16 AM,04/08/2019 03:14:14 AM,,,,,,,,,,,,,,,,,,Notary,,,,SPIFFE,SPIRE,,,,,,,,,,Falco,,,,,,,North America,9,No,8,10,Not yet!
10647243132,227548242,04/07/2019 11:55:48 PM,04/07/2019 11:58:22 PM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,7,No,4,9,nothing special
10645706286,227548242,04/06/2019 01:01:03 PM,04/06/2019 01:02:51 PM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,Helm,,,,,,,,,,,KubeEdge,,Asia,9,Yes,9,9,N/A
10644449693,227548242,04/05/2019 04:27:04 AM,04/05/2019 08:00:46 PM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,9,No,7,10,"For onboarding new Ambassadors, I feel there's not enough information about processes around things like reimbursement, requesting swag, etc.  Example: 4 months after becoming an ambassador, I was still holding 4 months worth of meetup receipts, still unsure what to do with them.  When it was mentioned offhand that those should be handled within a month, I was effectively left holding them, meaning those meetups came out of my pocket.  Related to this is the number of skipped or canceled Ambassador meetings, which cuts down on the opportunity to publicly ask questions about such things."
10644424929,227548242,04/05/2019 07:48:00 PM,04/05/2019 07:51:10 PM,,,,,Kubernetes,,,Fluentd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,We offer training and education services on many of these projects,North America,10,Yes,10,10,"CNCF is one of the more professionally run, focused and dynamic non-profits I have ever worked with. Would not change a thing."
10643585111,227548242,04/05/2019 02:09:52 PM,04/05/2019 02:12:59 PM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,8,No,8,9,expand reimbursement for larger markets
10643290349,227548242,04/05/2019 10:37:45 AM,04/05/2019 10:42:15 AM,,,,,Kubernetes,Prometheus,,,CoreDNS,,,,,,,,,,,,,,,Open Policy Agent,,,,,,,,,,,,,,,,Europe,8,Yes,7,8,I'm not getting the invites to the regular ambassador call
10643000182,227548242,04/05/2019 06:19:02 AM,04/05/2019 06:21:29 AM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,etcd,,,,North America,7,No,6,7,1 to 10 scales are very poor for collecting feedback like this. Use a Likert scale for more accurate results :D See this article for reasoning: https://articles.uie.com/net-promoter-score-considered-harmful-and-what-ux-professionals-can-do-about-it/
10641952348,227548242,04/04/2019 09:11:34 PM,04/04/2019 09:18:27 PM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,9,Yes,8,7,-
