How long have you been a member of CNCF?,How many employees does your company have?,"Please indicate your CNCF membership level: (if you’re not sure, please check the list to confirm)",Are you also part of CNCF's End User Community? (Visit here to confirm),What is your role in your organization?,,What CNCF marketing programs are valuable to your company? Check all that apply.,,,,,,,,,,,,,,How well does CNCF communicate the process to get involved in the activities and programs offered?,,Have you taken advantage of networking opportunities with other CNCF members?,,What improvements could be made to these marketing programs? Please check all that apply,,,,,"What kind of additional marketing programs would you find valuable, if any?",We are looking for information on the events and marketing activities our members engage in. Do you hold community events such as a roadshow or developer event? Are they in-person or virtual? What is your targeted audience? How many attendees do you get?,"Do you have an event that CNCF should sponsor and if so, why?",Are you part of other member programs? What parts of that program to most enjoy / find beneficial?,Do you attend the monthly Marketing Committee calls?,"If you have attended a Marketing Committee meeting, is the content presented useful, interesting, and informative?",What improvements could be made to the Marketing Committee meeting? Select all that apply.,,,,,,,"In the past 6 months, have you had a call with CNCF to discuss your membership benefits?",,"Have you submitted an information request to CNCF staff? If so, what communication method did you use? Check all that apply.",,,,,,"If you have submitted a request to CNCF staff, how helpful were the responses you received?",What have you found to be the most valuable part of your CNCF membership? Check all that apply.,,,,,,,,Has your CNCF membership experience met your expectations?,,Would you recommend CNCF membership to other companies?,,Is there any other feedback that you wish to share? What can CNCF do more of or less of? How can CNCF help you in the next six months?
Response,Response,Response,Response,Response,Other (please specify),Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,None,Please include any feedback or suggestions regarding the programs above.,Response,Please include any feedback or suggestions to improve this process,Response,What could CNCF do to help you get you more involved with your peers? Please provide suggestions below.,Add more programs,Better communication as to how to get involved,More support on aligning these programs to member goals,I do not have any suggestions,Other: Please specify,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Response,Response,Increased communication regarding how your company can strategically align with CNCF initiatives,Additional reporting on the performance of marketing programs,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,Open discussion time,I do not have any improvement suggestions,Other,Response,Add a comment if you'd like,Member desk,Email to an email alias,Email to specific CNCF person,Slack,Text / phone call,I have not submitted a request of CNCF staff,Response,Marketing programs,Networking with other companies in the space,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,Lead generation from partner programs,Nothing,Other (please specify),Response,Please include any feedback or suggestions,Response,Why or why not?,Open-Ended Response
3 years,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,,End user case studies,,,,,Inclusion in Kube Weekly seems a bit restrictive. I have not figured out how to leverage for my company.  ,Very well,,Yes,"Yes, at major events.",,,,I do not have any suggestions,Support from the team is great. Very responsive.,Maybe Analyst Relations,We have  robust blogging and webinar schedule. We do some community events for Dev/Ops .,Not yet but good to know.,"We need to do presentations at your events.  We've done quite a few at AWS,",Every month,Somewhat,,Additional reporting on the performance of marketing programs,,Marketing topics where members share best practices,Open discussion time,,,Yes,Always helpful,Member desk,Email to an email alias,Email to specific CNCF person,,,,Extremely helpful,Marketing programs,,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,,,,,Somewhat meets expectations,Like information on lead gen and partner programs.  More emphasis on getting leads who might want our product. ,Yes,,no
3 years,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,Sponsorship of CNCF Events: Kubernetes Community Days,,,,,,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat well,,I was not aware of networking opportunities with other CNCF members,,Add more programs,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,"I organize Cloud Native Rejekts and Kubernetes Community Days which have both had changes due to COVID-19. CNR had about 1000 attendees and KCD Berlin was postponed until further notice. We are also working on another conference series which will launch virtually mid-summer. We always lean towards in-person event but with the current situation, we have had to make adjustments. In addition to our larger conferences, we will start producing virtual instances of Cloud Native Berlin Meetups with hopes to hold 1-2 events each month. ",The CNCF already supports the Cloud Native Berlin Meetups and has done for at least the last three years. I think there is a wonderful opportunity to support the Cloud Native Rejekts as it grows. It has been very well received by the community over the past year since its' inception and we expect this to keep growing as more people find out about it through our recent virtual debut. ,I am part of the CNCF Marketing Committee and am hoping to get involved in the Wellness program. I fell sick when in San Diego and was hoping to get involved in Amsterdam. I would like to see if there are any other ways to participate virtually. ,Most months,Somewhat,,,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,Open discussion time,,,,,,,,,,,,,,,,,,,,,,,,
2 years,1-49,Silver,No,Other (please specify),CEO,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,Sponsorship of CNCF Events: Kubernetes Community Days,,,,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat well,,Yes,,,,More support on aligning these programs to member goals,,,no idea now,We don't hold separate events but sponsor larger ones such as CloudNativeCon and possibly Kubernetes Days in the future. These used to be in-person events.,no,We are a member and training partner of the Openstack Foundation. Their Training Marketplace program is very useful for us.,Occassionally,Neutral,,,,Marketing topics where members share best practices,,,,No,,,Email to an email alias,,,,,Very helpful,,,,,,Lead generation from partner programs,,Branding our company as a CNCF Training and Solution Providing Partner,Somewhat meets expectations,"Somewhat means here that quite well as there is no such thing which ""completely meets expectations"".",Yes,,
Less than one year,1-49,Silver,Yes,Sales and Marketing,,,Sponsorship of CNCF Events: Kubernetes Forums,,,CNCF Webinar Program,,,,,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Very well,,No,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,We are conducting Kubernetes Sri Lanka meetups and our target audience is mainly industry people and university students. We got around 100 people for each meetup.,Kubernetes Sri Lanka Meetups,,Every month,Somewhat,,Additional reporting on the performance of marketing programs,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,,,,Not sure,,,,Email to specific CNCF person,,,,Extremely helpful,Marketing programs,,,,,,,,Somewhat meets expectations,,Yes,,
1 year,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Very well,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,,,,,"Yeah, we are planing to organize more in-person developer events, they may be golang users or open-source lovers or just favor in tech, we've hold about a hundred people meeting and we are finding more developers to get involved. ",,,Occassionally,Somewhat,,,,,,I do not have any improvement suggestions,,No,,,,,,,I have not submitted a request of CNCF staff,Very helpful,,,,,,Lead generation from partner programs,,,Somewhat does not meet expectations,,Yes,,
Less than one year,"5,000+",End User Supporter,Yes,Other (please specify),Open Source Management,,,,,CNCF Webinar Program,Kubernetes blogs,,KubeWeekly,End user case studies,,,,,,Somewhat well,The amount of activities and programs is a bit overwhelming. It's not easy to get a feeling for what is useful and to navigate all the different offerings.,Yes,,,,More support on aligning these programs to member goals,,,,,,,Occassionally,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,Yes,,,Email to an email alias,,,,,Somewhat helpful,,Networking with other companies in the space,,,,,,,Somewhat meets expectations,,Yes,,
4+ years,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,,,,,Very well,,I was not aware of networking opportunities with other CNCF members,,Add more programs,,,,CNCF could work more closely with cloud native meetup organizers to create a centralized library of recorded talks.,,We organize IFX in Las Vegas each year during re:Invent. Our reach is probably 300-400 people and the target audience is people who working at the intersection of software and hardware.,"CNCF should sponsor IFX, especially since there is likely to be more action in the bare metal provisioning space this year with the sandbox donation of Metal3 and others in the space likely following along soon.",I enjoy OSLS,Every month,Somewhat,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,,,,No,,,Email to an email alias,Email to specific CNCF person,Slack,Text / phone call,,Extremely helpful,Marketing programs,,,,Helping raise awareness of CNCF projects to reach critical mass,,,,Completely meets expectations,,Yes,,
2 years,500-999,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,,CNCF Webinar Program,,,KubeWeekly,,,,Speakers Bureau and member emails,,,Very well,,I was not aware of networking opportunities with other CNCF members,,,,More support on aligning these programs to member goals,,,Collectively focusing on more beginner users of CNCF projects and partnering on edu opportunities.    ,We're moving to all virtual for the rest of the year. We focus on hobbyist developers and entrepreneurs starting companies ,We are going to be having our TIDE conference which would be a good fit for CNCF because it's an intimate (100ish) people and has insightful content from industry experts and always focuses on engaging the audience ,,Most months,Very,Increased communication regarding how your company can strategically align with CNCF initiatives,,,Marketing topics where members share best practices,Open discussion time,,,Not sure,,,Email to an email alias,Email to specific CNCF person,,,,Very helpful,Marketing programs,,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,,,,,Somewhat meets expectations,,Yes,Opting to yes because it can be a great way to get exposure to an engaged audience,"Help us centralize our points of contact at our company. We dont really know who is talking to you at all times. That would be helpful.     Support us in reaching your audiences in other ways. Also partnering together on Hacktoberfest could be a great way to work together, "
Less than one year,1-49,End User Supporter,Yes,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",,,,,,,,,Speakers Bureau and member emails,,,Very well,,Yes,,,,,I do not have any suggestions,,,,,,Occassionally,Somewhat,,,,,,I do not have any improvement suggestions,,No,,,,Email to specific CNCF person,,,,Extremely helpful,,Networking with other companies in the space,,,,,,,Completely meets expectations,,Yes,,
