Respondent ID,Collector ID,Start Date,End Date,How do you currently interact with the TOC and the TOC SIGs? (Please tick all that apply),,,,,,,Which of these applies to you? (tick all that apply),,,,,,,Do you find public TOC meetings useful?,Did you feel that the CNCF TOC responded quickly to your project reviews or other requests?,"Do you feel CNCF SIGs (e.g., App Delivery, Storage etc) are useful?","How useful do you find the following interactions with the CNCF TOC? (Very useful, somewhat useful, not useful, pointless, I was not aware of this)",,,,,,"To what extent do you agree with the following statements? (Strongly disagree, disagree, neutral, agree, strongly agree)",,,,,,,,,,Would you like to be more involved in CNCF TOC and SIG work? (Select one),"In your opinion, is the CNCF missing projects that represent important pieces of the Cloud Native landscape? Please specify:","What would you like the CNCF TOC to do differently, or to provide that currently doesn’t happen?","Any other feedback that you wish to share, from what CNCF TOC can do more or what we should do less?"
,,,,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,I join CNCF TOC public meetings,I am a CNCF SIG chair or tech lead,I'm listed as a CNCF Contributor,I join meetings for one or more CNCF SIGs,Other (please specify),I spend most of my working time contributing to CNCF projects,I work for an end user company that consumes CNCF projects,I spend most of my working time on projects that would like to be accepted into the CNCF,I work for a small company (<100 people),I am independent / unaffiliated to a company,I work for a medium-sized company (100-1000 people),I work for a large company (1000+ people),Response,Response,Response,Public TOC meetings,TOC working meeting document,TOC mailing list,TOC panel at KubeCon / CloudNativeCon,Other,Other (please specify),CNCF TOC exercises good judgement when assessing projects,CNCF TOC accepts too many projects into the CNCF,CNCF SIGs are a good initiative,CNCF TOC is too slow to assess projects,CNCF TOC processes are clear,CNCF TOC acts transparently,I know how to raise a suggestion with the CNCF TOC,CNCF TOC listens to suggestions from the community,I agree with the CNCF TOC definition of Cloud Native,CNCF TOC takes initiative to encourage diversity,Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
11415363257,254535004,03/13/2020 5:53:38 AM,03/13/2020 6:00:19 AM,I subscribe to the CNCF TOC mailing list,,,,I'm listed as a CNCF Contributor,I join meetings for one or more CNCF SIGs,General contributor whose work goes upstream,,,,,,,I work for a large company (1000+ people),Disagree,Disagree,Neutral,Not useful,I was not aware of this,Very useful,Not useful,,,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,I am unsure whether I am qualified to get more involved,,"The TOC is not transparent in its decision making process. Nothing makes this more clear than the recent issues with CNCF Hub or Operator Hub. Does the TOC serve the community, or CNCF’s whims?","Stand up for what you believe this community could be. Stop spending time arguing about what projects Google hasn’t donated, and start asking yourselves if you’re really serving cloud native *users* — not cra’s latest signatories."
11415318209,254535004,03/13/2020 5:14:12 AM,03/13/2020 5:22:47 AM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,,,,I join meetings for one or more CNCF SIGs,I have taken the Rook project from Sandbox -> Incubating and now in the process of Incubating -> Graduation,I spend most of my working time contributing to CNCF projects,,,I work for a small company (<100 people),,,,Agree,Agree,Agree,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,I was not aware of this,,Strongly Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly Agree,"No, I’m not interested",I think the landscape is pretty well covered,"The graduation criteria has been in flux while we've been going through it and it's been slightly confusing on what version of the criteria applies to us and what next steps are.  However, our CNCF representatives ChrisA and Amye have been a huge help, as well as the storage SIG (Saad Ali, Alex Chircop, Erin Boyd, etc.)",I think overall the TOC has been doing a great job! I think the projects that are admitted into the CNCF are of good quality and the vetting of them is thorough and meaningful.  Thank you for your hard work TOC!
11407559061,254535004,03/10/2020 4:11:17 PM,03/10/2020 6:24:16 PM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,I join CNCF TOC public meetings,,,I join meetings for one or more CNCF SIGs,,I spend most of my working time contributing to CNCF projects,,,I work for a small company (<100 people),,,,Agree,Agree,Agree,Somewhat useful,I was not aware of this,Somewhat useful,Not useful,,,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,"No, I’m involved enough",,I think the TOC responsibilities are scoped appropriately at this point in time and I feel that the current TOC members are doing a good job of upholding responsibilities. I don't have any concrete suggestions for improvement or changes at the moment.,See last response.
11406334178,254535004,03/10/2020 5:29:20 AM,03/10/2020 10:48:00 AM,I subscribe to the CNCF TOC mailing list,,I join CNCF TOC public meetings,,,,,I spend most of my working time contributing to CNCF projects,I work for an end user company that consumes CNCF projects,,,,,I work for a large company (1000+ people),Neutral,Agree,Neutral,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,"Yes, but I don’t know how to get more involved",,"Could CNCF provide more opportunites to let community know TOCs, like some face to face events",I wish more tocs focuse on projects(sandbox or incubating projects) and give some suggestions for the project's development
11406298404,254535004,03/10/2020 9:57:24 AM,03/10/2020 10:23:03 AM,,,,,,,"I managed to create PR in TOC repo, then after waiting some time I approached few members on CNCF slack. Was not aware of any official mailing list",,,I spend most of my working time on projects that would like to be accepted into the CNCF,,,,,Strongly Agree,Strongly Disagree,N/A,Very useful,Very useful,I was not aware of this,Very useful,,,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,N/A,N/A,N/A,N/A,"No, I’m not interested","CNCF is a zoo of different projects that solve different problems. Separately when you want to use them they are great, but to make them work together it is a nightmare. CNCF is missing a platform-like, integration projects that have a goal to integrate those different projects in one stack, and they work with those projects to improve their abilities to integrate. Cloud is complex, it is not enough to give someone a package of lego, lego duplo and building blocks from other vendors, without instruction, expecting they can easily build something out of it. You need project that make sure all those blocks are compatible and work well with each other.","Have a clear process for accepting/rejecting projects, that is always transparently followed and decisions are not made on closed meetings unless some company asked for it explicitly","I basically lost my belief in transparency of TOC work. Kyma was not allowed to present on public meeting. We were not checked in details and advised what has to change or to be done to get accepted. On a private TOC meeting there was a decision we get rejected, and then just communicated in PR, like it is just a usual case. Few hours later, after the decision (it all happened during KubeCon, when before KubeCon I got information that TOC will not have time to discuss the project with them and that we will cover that after KubeCon) one of the TOC members approach the booth and asked us to explain what Kyma is. He asked us what it is even though they already made a decision it is not a good project for CNCF.    Such things make others think TOC is still powered by private business of certain companies and projects are blocked as potential competition. I'm still believe it is not true, but if you treat like this a project from such a large company as SAP, you should take into accoutn that such a company can have long term doubts."
11406228878,254535004,03/10/2020 9:21:26 AM,03/10/2020 9:26:16 AM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,,,,,,,I work for an end user company that consumes CNCF projects,,,,,I work for a large company (1000+ people),Agree,N/A,Agree,Very useful,Somewhat useful,Very useful,Very useful,,,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,I am unsure whether I am qualified to get more involved,"obviously Istio but not sure if they want or not.  Projects around handling secrets ""in a secure way"" but I have no real names (Vault maybe?)",Be a bit faster when saying yes or no to projects,"the work is done so far, so congrats!"
11406187815,254535004,03/10/2020 8:43:06 AM,03/10/2020 8:48:40 AM,I subscribe to the CNCF TOC mailing list,,,,,,,,I work for an end user company that consumes CNCF projects,,,,,I work for a large company (1000+ people),N/A,Neutral,Neutral,Somewhat useful,I was not aware of this,Somewhat useful,Somewhat useful,I was not aware of this,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,"Yes, but I don’t have enough time",I would like to see the VictoriaMetrics time-series database proposal proceeded.,N/A,N/A
11404891813,254535004,03/09/2020 8:56:57 PM,03/09/2020 9:07:44 PM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,I join CNCF TOC public meetings,,,I join meetings for one or more CNCF SIGs,"Submitted project for CNCF Sandbox, running for the TOC",I spend most of my working time contributing to CNCF projects,,I spend most of my working time on projects that would like to be accepted into the CNCF,,,I work for a medium-sized company (100-1000 people),,Agree,Disagree,Agree,Somewhat useful,Somewhat useful,Somewhat useful,,,,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,"Yes, and I am intending to do so",Secure distribution tools,"I think the CNCF is moving the right direction. A lot of my answers reflect the current state, but I don't think there's a lot of consistency across SIGs and across TOC members in these processes and involvement.","I'd like to see the TOC standardize on the SIG process. I'd also like clearer governance of SIG leadership - how SIG chairs change over time. I think the TOC is making strides to solve their own scalability problem, BUT for a while it felt stalled halfway through and there are a lot of pieces of this that aren't complete.    I totally understand that we're completing a lot of elections through this cycle. However, I think this exacerbated the symptoms - and the TOC will continue to have elections over time. I think a strong internal focus on getting the TOC and graduation process of projects into a strong engine would be a great focus for 2020, so that future TOC members are able to be quickly onboarded and productive in the TOC environment."
11404853535,254535004,03/09/2020 8:43:32 PM,03/09/2020 8:54:11 PM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,I join CNCF TOC public meetings,,I'm listed as a CNCF Contributor,I join meetings for one or more CNCF SIGs,,I spend most of my working time contributing to CNCF projects,,,,,,I work for a large company (1000+ people),Neutral,Strongly Disagree,Disagree,Somewhat useful,Not useful,Somewhat useful,Somewhat useful,,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Neither agree nor disagree,"Yes, but I don’t have enough time",,"There are a few things.    1. Clearly document processes. I have routinely been in SIG meetings where questions about processes arise and no one, including the SIG chairs, knows the answer to. Sometimes documentation is lacking and sometimes it does not reflect the process. This is a communication problem as people do not know what to expect or how to proceed. This applies to sandbox, incubation, and graduation projects.    2. Have TOC members regularly attend SIG and WG meetings. Unanswerable questions come up regularly and TOC members are not present to hear them.    3. TOC members regularly triage and engage with projects on the TOC GitHub repo. If the TOC is involved where the work is expected to happen around processes and questions it will help the TOC be more engaged and respond more quickly. This is part of how healthy open source projects work when it comes to code. It idea can be played out with the TOC repo.","Listen, become more engaged, try to understand the problems people are having.    Also, be patient with people. Some of the people stuck in the processes have been going through a single process for more than 6 months and are becoming increasingly frustrated."
