My employer is (select one):,Which CNCF Project(s) are you currently maintaining?,Do you participate in a Technical Advisory Group?,,Do you interact with or engage with other CNCF projects outside of the ones you maintain? Which ones?,,"Would you recommend CNCF to other open source projects, and why?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)",,Did you feel that the CNCF staff responded quickly to your requests?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Do you have a good understanding of the Technical Oversight Committee and Technical Advisory Groups and know how to engage with them?,,"Do you find the metrics provided by the CNCF (DevStats, CloMonitor, Project Health) valuable for the needs of your project?",,Did you feel that the Technical Oversight Committee responded quickly to your requests?,,What project benefits are you satisfied the most with?,"If you have applied to move levels, did the process for moving levels match your expectations? Why or why not? If you haven’t applied, why not?",How do you feel about the current requests and requirements of projects moving levels or after graduation?,What services do you wish the CNCF provided that it doesn't currently?,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
Response,Open-Ended Response,Response,Comments:,Response,"If Yes, which ones?",Response,Comments:,Response,Comments:,Response,Comments:,Response,Comments:,Response,Comments:,Response,Comments:,Response,Comments:,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
A vendor of cloud technology,Athenz,No,,No,,10,,9,,7,,5,,5,,7,,7,,NA,NA,NA,NA,I am new for Athenz maintainers so have no much answers for these questions ...
A vendor of cloud technology,"Kubernetes, CoreDNS",No,,No,,9,,9,,10,,7,,10,,8,,3,"Submitted another project to sandbox, and review takes way too long",Marketing and conference support,N/A,Reasonable,Not sure,
A vendor of cloud technology,Linkerd,No,,Yes,"SIG-Network/Gateway API, kube-rs",9,,8,,10,,9,,6,,N/A,,N/A,,KubeCon benefits of having a maintainer track. Cloud resources given to the Linkerd org (e.g. AWS),"N/A, I was not involved in the process of moving levels when Linkerd graduated.",They seem fair and transparent,"N/A, although resource acquisition with the intent to test and reproduce community-driven issues could be more straightforward.",
An End User company (not involved in direct monetization of CNCF projects),LitmusChaos,No,,No,,10,,10,,10,,10,,9,,10,,10,,"Community Support, Product Quality, Development Documentation",NA,NA,NA,NA
A vendor of cloud technology,Kuma,No,,Yes,"Envoy,Kubernetes,Prometheus",9,Great visibility while keeping the load on maintainers low,8,,10,All requests we've ever had were fulfilled in a day,5,We have tried to leverage these as sandbox projects don't seem to have access to most of these.,7,,10,,10,,Ability to build a community,About to happen,From a first look move to graduation seems acceptable.,Help with writing and hosting documentation.,
An End User company (not involved in direct monetization of CNCF projects),LitmusChaos,No,,Yes,Argo-Workflows,10,,10,,10,,10,,4,,10,,10,,Community reach & Product quality,NA,NA,NA,
A vendor of cloud technology,LitmusChaos,No,,Yes,KEDA,10,,10,,10,,10,,10,,10,,10,,"The outreach within the larger CNCF community, especially the flagship events like KubeCon, KubeDay, etc. provide great opportunities to connect and collaborate. Also, KCD and other community-led events are very vibrant.","No, not in this quarter.",The cycles required for validating all the requirements are pretty long.,More collaboration opportunities with the project contributors,
An End User company (not involved in direct monetization of CNCF projects),LitmusChaos,No,,No,,10,"Helps improving the product, helps in growth, quality and maintainance",9,,8,,6,,6,,9,,8,,"Community reach, product quality",Yes,NA,NA,
An End User company (not involved in direct monetization of CNCF projects),LitmusChaos,Yes,,Yes,"CNF Testsuite, Prometheus.",10,,10,,10,,10,,8,,8,,8,,"CNCF projects promote interoperability, enabling seamless integration and compatibility between different cloud-native technologies. This benefit ensures that organizations can adopt a diverse range of tools and solutions without being locked into a specific vendor or technology stack.","1. Simplify Administrative Processes: Streamline administrative tasks associated with level advancements, such as documentation submission, communication, and coordination. This will help reduce unnecessary bureaucratic hurdles and make the process more efficient. 2. Continuous Evaluation: Implement a system of ongoing evaluation and monitoring for projects at different levels. This can help ensure that projects maintain the required standards even after level advancements and encourage continuous improvement. 3. Streamline Evaluation Criteria: Review and refine the criteria used to assess projects' readiness for level advancements. Ensure that the criteria are clear, objective, and aligned with the goals and mission of the CNCF.","The specific requests and requirements may evolve over time as the CNCF community and technology landscape evolve. The CNCF should strives to strike a balance between stability and innovation, adapting the criteria to meet the changing needs of the industry. Overall, the current requests and requirements for projects moving levels or after graduation within the CNCF should aim to maintain quality, sustainability, and alignment with the organization's mission while instilling confidence in users and contributors.",Research and Development Grants: The CNCF could provide funding for research and development projects that advance the state of cloud-native technologies. This could encourage innovation and help drive the evolution of the ecosystem.,Not as of now.
