My employer is (select one):,Which CNCF Project(s) are you currently maintaining?,Do you participate in a Technical Advisory Group?,,Do you interact with or engage with other CNCF projects outside of the ones you maintain? Which ones?,,"Would you recommend CNCF to other open source projects, and why?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)",,"Are you satisfied with the support your project received at live CNCF Events (e.g., Project Pavilion, Co-Located events, Maintainer Talks)",,Did you feel that the CNCF staff responded quickly to your requests?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Do you have a good understanding of the Technical Oversight Committee and Technical Advisory Groups and know how to engage with them?,,"Do you find the metrics provided by the CNCF (DevStats, CloMonitor, Project Health) valuable for the needs of your project?",,Did you feel that the Technical Oversight Committee responded quickly to your requests?,,What project benefits are you satisfied the most with?,"If you have applied to move levels, did the process for moving levels match your expectations? Why or why not? If you haven’t applied, why not?",How do you feel about the current requests and requirements of projects moving levels or after graduation?,What services do you wish the CNCF provided that it doesn't currently?,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
A vendor of cloud technology,"Meshery, Service Mesh Performance",Yes,,Yes,A gaggle of them (many),Strongly agree,100%,Strongly agree,"Yes. While I might like more, I understand there's only so much that can be done for each project and agree that affordances based on current project level are necessary. There have been a number of instances in which CNCF (Staff) have been gracious with these project benefits. I so very much appreciate this.",8,,Strongly agree,"Resoundingly, yes. Every single time. I have interfaced with every CNCF staff member and can safely say that each of them have a customer service-centric mindset. They are here to help and they do just that.",Strongly agree,"Yes, indeed. Whenever I haven't been sure, guidance was quickly offered.",Strongly agree,,Strongly agree,"These are great. We use them with some regularity. Within Project Health, the ability to order / sort projects on a given metric might be nice to have in that doing so offers a sense of where a given project stands relative to other projects.",7,,The CNCF Infrastructure Lab has been a blessing for which we are most grateful. Thank you so much for this resource.,The level-moving process is a blackhole; a void from we may never escape.,"As a maintainer, I feel like our project is stuck in the sinking sands of the Sandbox.","A Hub for maintainers, ambassadors, and users alike, inclusive of reference architectures, a common playground, and learning / teaching tool - https://docs.google.com/presentation/d/1OqY5EvYYxj91MFEwoMaJVLyStDX9rTc7CyiF4w6qbNA/edit?usp=sharing",I really appreciate ya'll. I'm so pleased to be able to participate and engage in this foundation - in all the forms that this takes.
Neither,Artifact Hub,No,,Yes,All the projects behind the artifacts kinds we support in Artifact Hub,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,8,,6,,8,,5,,"Being a CNCF project helps with project visibility and awareness. It makes it easier to onboard adopters and contributors, which is key for the project growth.","Not really, it's been too slow. It took almost 3 years for our incubation proposal to be accepted (https://github.com/cncf/toc/pull/728 - not merged yet, but the vote passed).","Requirements for moving levels are fine, they make sense.",-,
A vendor of cloud technology,CNCF TAG-Runtime,Yes,,Yes,Most CNCF projects in the TAG-Runtime scope,9,Good place for projects to grow.,9,"Good support throughout events, conferences and marketing",9,,9,,8,Some things are not aware of,9,,9,,8,,"Kubecon talk slots, support for maintainers.",N/A,It's good but a lot things are in flux.,Ability for maintainers to get paid through sponsorships.,
A vendor of cloud technology,"SPIFFE/SPIRE, in-toto witness/archivista, network service mesh",Comments:,Tag security is the main one,Yes,Too many. I also was a k8s release team shadow.,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,6,,N/A,,Strongly agree,,TAGs are good places to collaborate,Process was straightforward but slow.,Good overall I think,NA,
An End User company (not involved in direct monetization of CNCF projects),SOPS,No,,Yes,"Argo, Crossplane, OpenTelemetry",9,,Strongly agree,,9,,Strongly agree,,8,,7,,Strongly agree,,N/A,,"Help with documentation/marketing site, GitHub Copilot",Haven't had time,N/A,N/A,
Neither,"Helm, Flux, and OpenGitOps",Comments:,TAG App Delivery. Off and on participate in TAG Environmental Sustainability (hoping for some sponsorship or employment to allow me to do this more),Yes,"ORAS, Prometheus, Jaeger. Unofficially (without commits) others over time",Strongly agree,"Governance and structure support, gravity with other projects, groups (WGs, TAGs, and CGs), additional programs (Ambassador, Deaf and HoH program, etc)",8,"There have been requests to fund some projects directly, and as I understand it CNCF requests funding go to directly to CNCF through membership. I have personally benefited from scholarships when in need (except the most recent China KubeCon. I understand it is competitive). I do feel marketing does a good job, and often reaches out to coordinate with us.",Strongly agree,"Yes, very. With one exception: co-location for GitOpsCon was a disaster for the ongoing event. It was the highest attended KubeCon co-located event at one point. After moving to Open Source Summit there were fewer opportunities. I was also unhappy that ArgoCon was supported as a colocated Kubecon event, but GitOpsCon was not - this was in part due to the Argo folks wanting to focus not on the wider GitOps project, and in part the decision by CNCF staff to move GitOpsCon to OSSummit. I don't blame anyone, but in retrospect it took the wind out of our sails for a while.",Strongly agree,"Almost always, yes :-) And very appreciated!",9,"I would say yes, but it seems there are some resources I only hear about after the fact that we could have taken advantage of. Even still, these are very helpful.",8,"I should probably learn how to do this better with TOC. That's on me though, there's just a lot already to do.",8,"Whenever I check, yes I think so. I don't check often though. Perhaps I should more",Strongly agree,"In the few occasions I've had so far to make requests, yes","hosted tools/resources are what I use most. Event services are another big one - support through maintainer scholarships and maintainer track talks have been invaluable. Security audits and collaboration on that level for Helm and Flux have been very important for our project maturity and trust. We have not taken advantage of your technical writing and documentation services nearly enough. Nor translations (we've sourced this largely on our own, through the community. However, I would like to ask help with this, as I'm sure translations are at various stages of being out of date). I would also like to see some more collaboration between CNCG initiative and TAGs related to those initiatives.","The process was nearly as I expected. A lot of work (more so for Flux than Helm in many ways). We also should apply to move OpenGitOps to incubation, and honestly haven't done that because - at least for my part - I am not working at a company right now, and freelance takes a lot of additional (unpaid administrative) work. On that note, I'm looking forward to my next career move, looking for roles that will allow some more time for setting bigger project goals again.","I think they are fair. Much more for Flux than for Helm (as graduating was years apart, and they have different provenance), and I understand this is the case because we are all learning, and the entire community is growing in maturity, including how to define each level.","Well, I'd love to find funding to help folks like me - comitted to Open Source - work on these projects full time! But barring that… idk, perhaps career services?","I would like to see community groups collaborate more within the same city, but I know not everyone feels that way ¯\_(ツ)_/¯"
A vendor of cloud technology,containerd,No,,Yes,"kubernetes, cri-o, Otel",Strongly agree,"we have had a great experience as a long time CNCF project, with website support, GitHub advanced/pro features, arm64 CI support, etc.",Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,N/A,,"Github organizational capabilities; I believe at our level of use of GH actions, the actuated.dev arm64 runners, etc. we would need significant money to achieve that same level of capability if we were outside the CNCF.",graduated in 2018; no further levels to move to,don't have a lot of insight into current requirements because of how long we have been graduated,nothing at the moment,
A vendor of cloud technology,Vitess,No,,No,,Strongly agree,,9,,9,,Strongly agree,,N/A,,5,,Strongly agree,,N/A,,"All of the help we've received on the vitess.io website, along with the CI resources (large GitHub runners)",N/A -- I was not involved in anything related to this,N/A (I have not really looked into that),Some (however small) yearly budget for brand recognition and loyalty mechanisms such as t-shirts.,
A vendor of cloud technology,"Knative, CloudEvents",No,,Yes,"Kubernetes, Kubeflow",8,,Strongly agree,,Strongly agree,,Strongly agree,,6,,8,,9,,N/A,,"Marketing, community-driven under a neutral foundation project and low number of processes requested to the project","Yes, we moved Knative to incubation and the process matched our expectations.",overall in-line with my opinions,Help projects engage with end users and adopters so that more public case studies or stories can be shared,
A vendor of cloud technology,envoy,No,,No,,3,,Strongly disagree,had the one request I've made of CNCF help rejected so I'm not feeling great about CNCF support,7,,N/A,,8,,Strongly disagree,,2,,N/A,,I don't see much value the CNCF brings to our project,n/a,n/a,actual help with resourcing,
A vendor of cloud technology,Confidential Containers,No,,Yes,,6,,6,,5,,9,,7,,6,,9,,6,,The devstats tool is pretty good.,"We are working towards incubation, but it seems like there is a huge delay in the CNCF processing applications.",They seems fine.,More resources for sandbox projects.,The license scanning tools are poor.
A vendor of cloud technology,Open Policy Agent,No,,Yes,"Istio/Envoy, a little. SPIFFE, again, a little",9,"CNCF projects have a lot of trust in the market and I feel like we get a lot of value from the CNCF, predominantly at KubeCon with the kiosk and the maintainer sessions.",9,,Strongly agree,This part in particular I am very impressed by.,Strongly agree,I have mostly spoken with Tin and Cody and they are are always very helpful.,8,I would like some of these to be more easily available to high profile contributors as well as formally listed maintainers.,4,"This is not something that I have much awareness of, perhaps since I've become most involved in the project post graduation.",5,"Not being able to set custom periods for the stats makes these less useful for me as I'm often trying to get the stats 'since last kubecon'. I like the idea, but the limited date filters in devstats make this less useful.",N/A,,KubeCon kiosk Maintainer Track Talk James' Keynote Project Updates,N/A,I think there are a lot of CNCF projects and the landscape is quite overwhelming for users when I speak to them at the kiosk. I would like to see graduated projects have a more prominent location in the project pavilion or more part time slots for non-graduated projects as the project showcase/pavilion is getting bigger and bigger.,"Access to cloud provider credits/accounts for hosting of websites, project e2e testing etc. We could deliver more interactive tooling to aid learning if we had some cloud space to run more interactive apps to get folk playing with our project beyond the simple playground that we have.",
An End User company (not involved in direct monetization of CNCF projects),PipeCD,No,,No,,Strongly agree,"I'm a new maintainer of PipeCD, and I have no problem.",N/A,,N/A,,Strongly agree,,Strongly agree,,6,"I've heard both TOC and TAG, but I didn't read the documents.",Strongly agree,,N/A,,Hosted tools/resources,I haven't applied because I'm a new maintainer of PipeCD.,I have no idea.,I have no idea.,
A vendor of cloud technology,Kubeflow,No,,Yes,KServe,Strongly agree,It's where I see consistent and mature processes to help projects to become successful,Strongly agree,,Strongly agree,,Strongly agree,,6,,5,,Strongly agree,,N/A,,"All the resources available for projects (Zoom, 1Password, GitHub Enterprise)",We haven't applied yet as we are working to fulfill the requirements,"We've been struggling to fulfill the requirements, but it would be great having an official advisor to help working with all these requirements","A Container Registry outside Docker Hub, since we have issues with rate limit.",
An End User company (not involved in direct monetization of CNCF projects),"Keptn, OpenFeature",Yes,,Yes,,4,"Good for companies, bad for individuals",2,The LF is understaffed across the board,6,,3,,6,,9,,8,,3,,"CNCF Slack, Kubecon opportunities",It is still quite slow,LGTM,All good,"Less self-hosted events, more supporting the projects/TAGs"
