,,Which CNCF project(s) are you maintaining?,Do you feel that CNCF reached out to collaborate and gather info about your project needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF staff responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF TOC responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.","Are your documentation needs being met (e.g., website, tech writing)?10 - strongly agree, 1 - strongly disagree.",,"Are your CI needs being met (e.g., GitHub Actions etc)?10 - strongly agree, 1 - strongly disagree.",,"Are your security needs being met (e.g., security audits)?10 - strongly agree, 1 - strongly disagree.",,"Are your non-CI tooling needs being met (e.g., bots or automation)?10 - strongly agree, 1 - strongly disagree.",,"Are your marketing needs being met (e.g., events, velocity reports)?10 - strongly agree, 1 - strongly disagree.",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)10 - strongly agree, 1 - strongly disagree.","Would you recommend CNCF to other open source projects, and why?10 - strongly agree, 1 - strongly disagree.",,"Do you find the CNCF DevStats tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"Do you find the CNCF Cloud Native Landscape tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"What diversity efforts could CNCF help out with for your project (e.g., maintainers, mentorships, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do you feel that CNCF reached out to collaborate and gather info about your project needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF staff responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF TOC responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.","Are your documentation needs being met (e.g., website, tech writing)?10 - strongly agree, 1 - strongly disagree.",,"Are your CI needs being met (e.g., Travis CI, Circle CI, GitHub Actions etc)?10 - strongly agree, 1 - strongly disagree.",,"Are your security needs being met (e.g., security audits)?10 - strongly agree, 1 - strongly disagree.",,"Are your non-CI tooling needs being met (e.g., bots or automation)?10 - strongly agree, 1 - strongly disagree.",,"Are your marketing needs being met (e.g., events, velocity reports)?10 - strongly agree, 1 - strongly disagree.",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)10 - strongly agree, 1 - strongly disagree.","Would you recommend CNCF to other open source projects, and why?10 - strongly agree, 1 - strongly disagree.",,"Do you find the CNCF DevStats tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"Do you find the CNCF Cloud Native Landscape tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"Do you find the CNCF End User Tech Radar tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"What diversity efforts could CNCF help out with for your project (e.g., maintainers, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
,,Open-Ended Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Response,Why?,Response,Why?,Response,Why?,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,,TiKV,KubeEdge,Brigade,Network Service Mesh,OpenTelemetry,OpenEBS,CRI-O,SPIRE,Thanos,Flux,In-Toto,Strimzi,KubeVirt,Longhorn,ChubaoFS,Keda,Service Mesh Interface,Argo,Volcano,CNI-Genie,Keptn,Kudo,Cloud Custodian,Dex,LitmusChaos,Artifact Hub,Kuma,Parsec,BFE,Crossplane,Contour,Operator Framework SDK,Operator Framework Lifecycle Manager,ChaosMesh,Serverless Workflow Specification,k3s,Backstage,Tremor,metal3-io,Porter,OpenYurt,Open Service Mesh,Keylime,SchemaHero,Cloud Development Kit for Kubernetes (cdk8s),cert-manager,OpenKruise,Tinkerbell,Pravega,Kyverno,GitOps Working Group,Piraeus-Datastore,Curiefense,Athenz,Kube-OVN,k8dash,Distribution,Ingraind,Kuberhealthy,k8gb,Trickster,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Response,Why?,Response,Why?,Response,Why?,Response,Why?,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
,,"KubeEdge, Volcano, Karmada","Yes, but my needs were not generally met",,8,,10,,8,8,,8,Need help on ARM environment CI,9,"KubeEdge applyed for TAG-Security assessment, and have been in queue for a long time",10,,8,,8,8,,10,,9,,maintainers,more webniars,arm based envirnment for project CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,6,,9,,8,10,,8,,9,,7,,9,,8,9,"CNCF let's us offload the organizational aspects of large project execution and funds useful work that is essential but unglamorous, e.g. docs, tooling.",8,"Useful insights when I check it, a good way to understand which companies are most active.",1,No idea what this is.,1,No idea what this is.,"Diversity scholarships are valuable for EnvoyCon; I think providing best practices and guidelines for building a diverse and inclusive OSS project, with an emphasis on practical and measurably effective steps would be great.",N/A,Unlimited funding for contractors? :),
,,"Notary, ORAS","Yes, and my needs were generally met",,9,,10,,8,9,,10,,10,,10,,10,,9,10,,10,,10,,maintainers,Webinars,"Contributors Digital certification services like Credily for CNCF maintainers, this will help the community to encourage more maintainers to join","Host more events for Chinese developers, improve the engagement from China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,8,,10,,5,9,,10,,10,,9,,10,,9,8,,5,Not directly valuable to maintainers.,1,I know the landscape already. Valuable to others but not to me.,1,Same as above.,More maintainers,Case studies,Helping us build the maintainer base.,"Feels like we have to fight for Linkerd representation in a lot of CNCF activities. Service mesh round table, etc. Should be projects over sponsors not the other way around."
,,Athenz,Other (please specify),TBH we are not able to spend enough time to build community and increase adoption of Athenz. But thats the path we want to take.,9,,10,,8,9,,10,,8,We would request a security audit in near future for Athenz.,10,,6,"Considering Athenz is a sandbox project, I understand the marketing venues are limited but we could definitely use some help in that area.",10,10,"I have seen projects getting more attention, trust and recognition because of CNCF brand. And I feel that open source projects can definitely benefit from it.",5,We don't have many collaborators so devstats are not particularly useful.,10,,Getting more adopters/contributors would be nice but the necessary effort from our side is lacking.,Cant think of anything additional other than what's already being provided.,Cant think of anything additional other than what's already being provided.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tinkerbell,,,,,,,,,,,,,,"Yes, and my needs were generally met",,8,,9,,10,9,,10,,6,,6,,9,,9,10,,8,,9,,7,,I'd suggest graduate schemes,Mainly webinars that have been fantastic so far.,N/A,Nothing from me at the moment.
,,KubeVirt,Other (please specify),Not that I'm aware of but it could have happened before my time.,4,,N/A,"Almost always yes, amazingly so, but on some service desk tickets it has been difficult to get follow-up",8,N/A,"Not really but we also haven't asked for help, aside from one big discussion during the monthly meeting. We are currently working on proposals to submit for help with both of these.",7,,N/A,I don't believe we have had security needs in the past 6 months (my reference point),9,,N/A,,6,10,"The support that I'm aware of is really valuable. Being a part of the broader ecosystem, and being able to learn about and talk to other projects is amazing.",7,Useful to be able to look at contributor stats over time to determine engagement from individual and company levels in a few different ways.,7,I was looking at it just this morning! It's the place I look to find other projects and where the fit in within the ecosystem. I haven't really looked at it much since it was updated and now have a quite a bit of reading to do.,"To be honest I don't know, but I would love to hear more about this","Greatly appreciated having a project booth at KubeCon NA 22, and will do that again. We are looking at running a KubeVirt summit - probably virtually again. We could do with some assistance there, I imagine.","I'm a relatively new maintainer and when I joined I would have really appreciated some help or info pack or something that help me navigate the wealth of information and channels available that isn't always intuitive to find. For instance, you go to the cncf org on github and you have to know to look for the servicedesk repo in order to find out information on the services provided.",I'm still learning about what the CNCF provides and what our project needs. Hopefully next survey I'll be more useful!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tinkerbell,,,,,,,,,,,,,,"Yes, and my needs were generally met",,9,,9,,9,6,,8,,2,Not yet. It is too early. The reporting will be full of obvious things,6,,9,,8,9,,9,,1,,1,,"The project is in early stage, I can't really tell right now",webinars,N/A,
,,Dapr,No,,6,,9,,10,10,,10,,8,,7,,3,,5,7,,10,,8,,Maintainers,It'd be great to have a meeting dedicated to someone from CNCF explaining the different marketing benefits our project can get from CNCF. We keep finding things after the fact.,N/A,,,,,,,,,,,,,In-Toto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,3,,8,,3,5,,N/A,"Yes, but we generally maintain these CI, not CNCF.",N/A,We are responsible for our own security.,N/A,We maintain our own non-CI tooling.,2,,3,7,Because CNCF projects receive publicity and legitimacy.,5,Never used it.,8,Great map.,3,Never seen or used it.,N/A,"More press releases relating to recent events, especially with how TUF and in-toto can solve supply chain attacks.","Something like GSoC would really help us find developers to help with our projects, please.",
,,Argo,No,,7,,9,,4,8,,10,,4,The Security TAG should stop doing assessmemts. Its useless and fruitless when it takes over a year.,7,,9,,7,4,"CNCF is great at marketing and events, as well as with the support that comes with that.  I feel like a lot more could be done in helping maintainers actually run the projects.",9,,2,,Maybe mentorships? Whatver it takes to get more diversity with the maintainers,"More help, guidelines, training, material on how to make a project successful.  - Security templates - Governance - meetings, collateral etc CNCF could/should set up some more frameworks, guidelines and help/training around how to start, maintain and make a project successful. You guys rock on the marketing side, less so on the practical side.",See #18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curiefense,,,,,,,,,"Yes, and my needs were generally met",,N/A,,N/A,,5,9,,10,,10,,10,,7,,9,10,,5,,5,,5,,don't know,don't know,don't know,
,,etcd,"Yes, and my needs were generally met",,9,,10,,10,10,,9,,10,,9,,10,,10,10,CNCF support is incredible!,8,I don't see it's being used widely for my project.,10,"Though crowded, the tool gives good broader understanding of overall landscape and where my project fits in it.",Nothing specific.,Nothing specific.,"I am happy with CNCF service desk. Chris Aniszczyk, Ihor (miss him lately), and others are great",,,,,,,,,,,,,In-Toto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,7,,7,,5,9,,9,,9,,N/A,,7,,7,8,,7,,5,,7,,"maintainers, scholarships, promotion","promotion, recruiting of developers, etc.",N/A,
,,Prometheus,Other (please specify),I very recently joined the Prometheus team; don’t know this one.,8,,N/A,,8,8,,10,,9,,8,,8,,9,8,,6,,3,Too many choices;,"Maintainers or mentorship would be good. With a large and mature project, new people need quite a lot of support to get started.",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parsec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,5,,10,,10,10,,8,,8,,10,,10,,10,10,CNCF has shown itself to be a positive and open organisation with a good culture and code of conduct. It is also the go-to body for cloud native technologies and highly respected in the industry.,5,"To be honest, I haven't used this much yet. Perhaps it will become more valuable as the Parsec project grows - it is still quite small at the moment.",10,"I love the CN landscape, because CNCF has such a vast array of projects, it can be hard to see the wood for the trees. CN landscape is invaluable in helping to navigate the projects and understand their position and purpose.",5,Neutral - I have not used this tool yet.,I can't think of anything specific just now.,"Parsec is a sandbox project, so I know that marketing efforts are limited. Perhaps when Parsec becomes an incubation project, it will be possible to get more help. Video production is one area I can think of. It would be good to have production assistance on video content so that the end result is CNCF-themed.",I can think of nothing specific just now.,"Some of the processes can be hard to grasp, or they seem to change a lot. For example, I'm not sure how or when I should attempt to trigger a security assessment for Parsec."
,,Kubebuilder,"Yes, and my needs were generally met",,6,"Not really, but I will check this doc. Would be great be able to check a place where has everything",10,nate-double-u has been amazing in the google summer program for example,10,10,As far I know yes. Let me know if not,10,As far I know yes. Let me know if not,N/A,"I think that yes, but let me know if not",1,,1,I do not think so. get a help here would be great.,1,10,"I am not aware of all that CNFC can help us with. however, I think being part of it can help out bring visibility for the product and grow the community.",8,"It is good to know the maturity of the projects.  However, we cannot find the project under Kubernetes sig",8,"Yes, it is good to try to find out the projects",All seems great. I would like to know more about the options,"We did not ask for anything so far. However, I think the project booths at the next KubeCon would be great. Not sure how works the webinars.","Very interesting, Certification and Training Services and Marketing Services and Programs shows that could be a great help","We probably are not asking for CNFC all help that we could regarding the projects. Therefore, this survey makes me realize that and I will see with the others as well how can we leverage more on it.",,,,,,,,,,,Flux,,,,,,,Service Mesh Interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,9,,10,,9,9,,6,,9,,9,,9,,9,10,"Since Flux joined CNCF we've seen an exponential growth of our community and CNCF has been helping a lot with guidance around governance, CII best practices, marketing, etc.",10,,10,,10,,maintainers,webinars,It would be nice if CNCF could supply Flux with cloud credits. We would like to run e2e tests on AKS/GKE/EKS instead of just Kubernetes Kind.,
