Respondent ID,Collector ID,Start Date,End Date,Which CNCF project(s) are you maintaining?,Do you feel that CNCF reached out to collaborate and gather info about your project needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF staff responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF TOC responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.","Are your documentation needs being met (e.g., website, tech writing)?10 - strongly agree, 1 - strongly disagree.",,"Are your CI needs being met (e.g., GitHub Actions etc)?10 - strongly agree, 1 - strongly disagree.",,"Are your security needs being met (e.g., security audits)?10 - strongly agree, 1 - strongly disagree.",,"Are your non-CI tooling needs being met (e.g., bots or automation)?10 - strongly agree, 1 - strongly disagree.",,"Are your marketing needs being met (e.g., events, velocity reports)?10 - strongly agree, 1 - strongly disagree.",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)10 - strongly agree, 1 - strongly disagree.","Would you recommend CNCF to other open source projects, and why?10 - strongly agree, 1 - strongly disagree.",,"Do you find the CNCF DevStats tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"Do you find the CNCF Cloud Native Landscape tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"Do you find the CNCF End User Tech Radar tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"What diversity efforts could CNCF help out with for your project (e.g., maintainers, mentorships, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
,,,,Open-Ended Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Response,Why?,Response,Why?,Response,Why?,Response,Why?,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
13091425673,410425338,11/01/2021 08:43:36 PM,11/01/2021 08:55:05 PM,Tinkerbell,Other (please specify),I have not yet felt many needs.,1,I have not really had much onboarding into what is available for me as a CNCF project maintainer.,N/A,,1,3,I have not looked into making use of these services.,1,I have not seen what is available to meet my needs.,N/A,,N/A,,8,,3,7,I am at a lost as to whats available and how to make use of it and thus do not have much actual experience to recommend more.   ,6,,3,,8,,not sure,pretty happy so far,Better guidance of what the cncf offers to maintainers/projects.,
13085988726,410425338,10/29/2021 09:56:39 PM,10/29/2021 10:04:34 PM,gRPC,No,,10,,10,,8,10,,N/A,,9,,N/A,,4,i haven't seen a velocity report in a while?,9,10,,10,,5,,5,,not sure at the moment,Would like to bring gRPConf back for 2022!,community meeting support and social marketing support,Y'all are awesome! As CNCF grows - and LF overall! - I think we need additional support staff. 
13085876205,410425338,10/29/2021 09:18:42 PM,10/29/2021 09:21:30 PM,Distribution,"Yes, and my needs were generally met",,8,,10,,8,10,,10,,10,,10,,N/A,,10,10,,10,,10,,10,,Mentorships,Webinars,None that I can think of,
13063187476,410425338,10/21/2021 09:46:52 PM,10/29/2021 02:15:10 AM,Network Service Mesh,"Yes, and my needs were generally met",,10,,10,,10,10,,10,,10,,10,,10,,10,10,,10,,10,,10,,I don't know,Webinars would be nice :),Cloud credits,
13082897222,410425338,10/29/2021 12:27:01 AM,10/29/2021 12:30:47 AM,Metallb,"Yes, and my needs were generally met",,8,,10,,10,10,,10,,10,,N/A,,10,,9,7,Neutral home for different companies to collaborate,5,Haven't used them yet,10,,10,,Not sure at the moment. Just onboarding,Not sure at the moment. Just onboarding,Not sure at the moment. Just onboarding,
13082876362,410425338,10/29/2021 12:19:14 AM,10/29/2021 12:22:56 AM,"Jaeger, OpenTelemetry","Yes, but my needs were not generally met",,8,,7,,8,4,,7,,9,,4,,8,,5,8,,6,,2,,3,,maintainers,webinars,.,
13082872573,410425338,10/28/2021 11:50:44 PM,10/29/2021 12:21:34 AM,Kyverno,"Yes, and my needs were generally met",,10,,9,,10,10,,8,,10,,9,"Prow is good, it'd be better if there's an easy way to add it to the project.",10,,10,10,It provides plenty of resources that can be leveraged.,10,It helps us identify contributions and better manage the community.,10,,10,,Maintainers.,It was really nice that we got a Kyverno booth at KubeCon NA 2021. Hope there will be a booth for KubeCon EU 2022.,N/A as of now.,
13082733440,410425338,10/28/2021 11:29:13 PM,10/28/2021 11:32:34 PM,Helm,"Yes, and my needs were generally met",,9,,10,,9,9,,10,,9,,9,,9,,10,10,"I have worked with projects in various foundations, and CNCF has the right combo of IP protection, community engagement, support, and networking",10,,7,At this point it is too crowded,9,,I think it would be good if CNCF could help manage the outreach for things like HBCUs,We like the project booths a lot.,n/a,
13082678227,410425338,10/28/2021 11:07:44 PM,10/28/2021 11:13:12 PM,Open Service Mesh,"Yes, and my needs were generally met",,9,,10,,9,10,,9,We need to figure out how to run self-hosted agents for our CI,10,,10,,10,,10,10,,6,I have to dig more into the tool. I'm not sure the metrics were clear.,10,,1,Have not used it.,Possible collaboration with established under represented communities ,N/A,N/A,N/A
