,,Which CNCF project(s) are you maintaining?,Do you feel that CNCF reached out to collaborate and gather info about your project needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF staff responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF TOC responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.","Are your documentation needs being met (e.g., website, tech writing)?10 - strongly agree, 1 - strongly disagree.",,"Are your CI needs being met (e.g., GitHub Actions etc)?10 - strongly agree, 1 - strongly disagree.",,"Are your security needs being met (e.g., security audits)?10 - strongly agree, 1 - strongly disagree.",,"Are your non-CI tooling needs being met (e.g., bots or automation)?10 - strongly agree, 1 - strongly disagree.",,"Are your marketing needs being met (e.g., events, velocity reports)?10 - strongly agree, 1 - strongly disagree.",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)10 - strongly agree, 1 - strongly disagree.","Would you recommend CNCF to other open source projects, and why?10 - strongly agree, 1 - strongly disagree.",,"Do you find the CNCF DevStats tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"Do you find the CNCF Cloud Native Landscape tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"What diversity efforts could CNCF help out with for your project (e.g., maintainers, mentorships, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do you feel that CNCF reached out to collaborate and gather info about your project needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF staff responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF TOC responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.","Are your documentation needs being met (e.g., website, tech writing)?10 - strongly agree, 1 - strongly disagree.",,"Are your CI needs being met (e.g., Travis CI, Circle CI, GitHub Actions etc)?10 - strongly agree, 1 - strongly disagree.",,"Are your security needs being met (e.g., security audits)?10 - strongly agree, 1 - strongly disagree.",,"Are your non-CI tooling needs being met (e.g., bots or automation)?10 - strongly agree, 1 - strongly disagree.",,"Are your marketing needs being met (e.g., events, velocity reports)?10 - strongly agree, 1 - strongly disagree.",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)10 - strongly agree, 1 - strongly disagree.","Would you recommend CNCF to other open source projects, and why?10 - strongly agree, 1 - strongly disagree.",,"Do you find the CNCF DevStats tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"Do you find the CNCF Cloud Native Landscape tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"Do you find the CNCF End User Tech Radar tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"What diversity efforts could CNCF help out with for your project (e.g., maintainers, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
,,Open-Ended Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Response,Why?,Response,Why?,Response,Why?,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,etcd,TiKV,KubeEdge,Brigade,Network Service Mesh,OpenTelemetry,OpenEBS,CRI-O,SPIRE,Thanos,Flux,In-Toto,Strimzi,KubeVirt,Longhorn,ChubaoFS,Keda,Service Mesh Interface,Argo,Volcano,CNI-Genie,Keptn,Kudo,Cloud Custodian,Dex,LitmusChaos,Artifact Hub,Kuma,Parsec,BFE,Crossplane,Contour,Operator Framework SDK,Operator Framework Lifecycle Manager,ChaosMesh,Serverless Workflow Specification,k3s,Backstage,Tremor,metal3-io,Porter,OpenYurt,Open Service Mesh,Keylime,SchemaHero,Cloud Development Kit for Kubernetes (cdk8s),cert-manager,OpenKruise,Tinkerbell,Pravega,Kyverno,GitOps Working Group,Piraeus-Datastore,Curiefense,Athenz,Kube-OVN,k8dash,Distribution,Ingraind,Kuberhealthy,k8gb,Trickster,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),Response,Response,Why?,Response,Why?,Response,Why?,Response,Why?,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
,,tinkerbell,"Yes, and my needs were generally met",,10,,10,,10,N/A,,N/A,,N/A,,N/A,,10,,10,10,,10,,8,,"""maintainers, mentorships, scholarships"" - all of this to bring new contributors to smaller projects",Integrate with Visio Stencils / Lucid Shapes to bring CNCF project iconography to the architecture diagram world,paid internships to support smaller projects?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,6,,9,,8,10,,8,,9,,7,,9,,8,9,"CNCF let's us offload the organizational aspects of large project execution and funds useful work that is essential but unglamorous, e.g. docs, tooling.",8,"Useful insights when I check it, a good way to understand which companies are most active.",1,No idea what this is.,1,No idea what this is.,"Diversity scholarships are valuable for EnvoyCon; I think providing best practices and guidelines for building a diverse and inclusive OSS project, with an emphasis on practical and measurably effective steps would be great.",N/A,Unlimited funding for contractors? :),
,,containerd,"Yes, and my needs were generally met",,9,,9,,9,9,,9,,9,,9,,9,,9,9,,10,,5,,maintainers,n/a; containerd seems to have enough exposure given longevity and use of the project broadly,none that I'm aware of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,8,,10,,5,9,,10,,10,,9,,10,,9,8,,5,Not directly valuable to maintainers.,1,I know the landscape already. Valuable to others but not to me.,1,Same as above.,More maintainers,Case studies,Helping us build the maintainer base.,"Feels like we have to fight for Linkerd representation in a lot of CNCF activities. Service mesh round table, etc. Should be projects over sponsors not the other way around."
,,Devfile,"Yes, and my needs were generally met",,8,,10,,7,N/A,,N/A,,N/A,,N/A,,N/A,,8,8,"Community, help, visibility",5,Neutral: we have looked at those yet.,8,,"A cross-pollination program: maintainers of a project are invited to spend a week on another project (see ""Craftsman Swaps"" in Software Craftsmanship)","Help with the website, blog posts etc...","N/A we haven't used available services yet, I don't think we can provide feedback on what's missing yet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tinkerbell,,,,,,,,,,,,,,"Yes, and my needs were generally met",,8,,9,,10,9,,10,,6,,6,,9,,9,10,,8,,9,,7,,I'd suggest graduate schemes,Mainly webinars that have been fantastic so far.,N/A,Nothing from me at the moment.
,,Piraeus,"Yes, and my needs were generally met",,9,,9,,7,8,,6,,8,,8,,9,,8,10,Good management,10,,9,But it is better to be split into multiple pages,mentorships,webinars,coaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tinkerbell,,,,,,,,,,,,,,"Yes, and my needs were generally met",,9,,9,,9,6,,8,,2,Not yet. It is too early. The reporting will be full of obvious things,6,,9,,8,9,,9,,1,,1,,"The project is in early stage, I can't really tell right now",webinars,N/A,
,,Dapr,"Yes, and my needs were generally met",,6,,4,,6,7,,10,,7,,10,,4,,6,6,,10,,8,,Maintainers,"Booths, case studies, webinars",N/A,,,,,,,,,,,,,In-Toto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,3,,8,,3,5,,N/A,"Yes, but we generally maintain these CI, not CNCF.",N/A,We are responsible for our own security.,N/A,We maintain our own non-CI tooling.,2,,3,7,Because CNCF projects receive publicity and legitimacy.,5,Never used it.,8,Great map.,3,Never seen or used it.,N/A,"More press releases relating to recent events, especially with how TUF and in-toto can solve supply chain attacks.","Something like GSoC would really help us find developers to help with our projects, please.",
,,Schemahero,"Yes, and my needs were generally met",,7,,8,,8,9,,N/A,,N/A,,N/A,,N/A,,9,8,,4,,3,,More maintainers would be nice,"We've had booths at previous kubecons, but another would be nice",I am not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curiefense,,,,,,,,,"Yes, and my needs were generally met",,N/A,,N/A,,5,9,,10,,10,,10,,7,,9,10,,5,,5,,5,,don't know,don't know,don't know,
,,Crossplane,No,,3,,10,,8,1,,10,,2,,3,,5,,3,8,The reputation of CNCF that lets companies use the projects with less fear of single entity control.,7,,3,,mentorship program is quite helpful.,"More blogs, tweets and joint events with other projects.",Cross-polination of projects through their maintainers.,,,,,,,,,,,,,In-Toto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,7,,7,,5,9,,9,,9,,N/A,,7,,7,8,,7,,5,,7,,"maintainers, scholarships, promotion","promotion, recruiting of developers, etc.",N/A,
,,OpenFunction,"Yes, and my needs were generally met",,8,,10,,10,8,,8,,10,,8,,8,,10,10,,8,,10,,maintainers,webinars,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parsec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,5,,10,,10,10,,8,,8,,10,,10,,10,10,CNCF has shown itself to be a positive and open organisation with a good culture and code of conduct. It is also the go-to body for cloud native technologies and highly respected in the industry.,5,"To be honest, I haven't used this much yet. Perhaps it will become more valuable as the Parsec project grows - it is still quite small at the moment.",10,"I love the CN landscape, because CNCF has such a vast array of projects, it can be hard to see the wood for the trees. CN landscape is invaluable in helping to navigate the projects and understand their position and purpose.",5,Neutral - I have not used this tool yet.,I can't think of anything specific just now.,"Parsec is a sandbox project, so I know that marketing efforts are limited. Perhaps when Parsec becomes an incubation project, it will be possible to get more help. Video production is one area I can think of. It would be good to have production assistance on video content so that the end result is CNCF-themed.",I can think of nothing specific just now.,"Some of the processes can be hard to grasp, or they seem to change a lot. For example, I'm not sure how or when I should attempt to trigger a security assessment for Parsec."
,,OpenFunction,"Yes, and my needs were generally met",,10,,10,,10,10,,10,,10,,10,,N/A,,10,10,,10,,10,,Helped us match the great contributors,N/A,N/A,N/A,,,,,,,,,,,Flux,,,,,,,Service Mesh Interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,9,,10,,9,9,,6,,9,,9,,9,,9,10,"Since Flux joined CNCF we've seen an exponential growth of our community and CNCF has been helping a lot with guidance around governance, CII best practices, marketing, etc.",10,,10,,10,,maintainers,webinars,It would be nice if CNCF could supply Flux with cloud credits. We would like to run e2e tests on AKS/GKE/EKS instead of just Kubernetes Kind.,
