What is your geographic location?,What is the size of your company/organization?,What is your job function? Please select all that apply.,,What industry does your company/organization belong to?,,Which of the following cloud or data center models does your company/organization use?,,"Which, if any, of the following projects do you use for observability?",,,,,,,,,,,,"What practical, technical, or cultural challenges have you experienced or do you foresee using these projects - please select all that apply:",,,,,,,,,"Observability is a broad field. How many different tools does your organization use for monitoring, gathering logging and tracing data, and for metrics?",,What is your greatest challenge in observability - select all that apply:,,,,,,,,,,"What, if any, concerns do you have about making greater use of cloud native observability projects or products? Please select all that apply from the following list:",,,,,,,,,,,,,How do you run your observability tools - select all that apply. (Providing tools as-a-service internally still counts as self-managed):,,,,,,,,"Which of the following matter most for observability in your daily operations - please rank each in order from 1 - 9, with 1 being most important:",,,,,,,,,,,"Rank the following in order of importance when selecting observability tools from 1 to 6, with 1 being the most important:",,,,,,,What are your top priorities or projects in observability for the next year - select all that apply:,,,,,,,,,,"The CNCF Technical Advisory Group (TAG) Observability provides a number of resources which include the Cloud Native Observability whitepaper and online sessions. What would you like the TAG to provide you with most to monitor, audit, and instrument your cloud native and legacy infrastructure?To get involved with TAG Observability, join the TAG meetings @ 1600 UTC, 1st and 3rd Tuesdays of each month; join the mailing List: cncf-tag-observability@lists.cncf.io; or chat on CNCF Slack #tag-observability.",,,,
Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),None of the above,Cortex,OpenMetrics,Prometheus,Thanos,Fluentd,Jaeger,OpenTelemetry,OpenTracing,Chaos Mesh,Litmus,Other (please specify),Difficult to install,Lack of supporting documentation,Too complex to understand or run,Doesn’t work well with my existing deployment tools or infrastructure,Code bugs,Security vulnerabilities,Management discourages use of/doesn’t see value of open source,Concern open source projects could be abandoned or become inactive,Other (please specify),Response,More than 20 (please specify),None of the above,Lack of resources,Shortage of skills,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,Lack of leadership from management,Complexity,Other (please specify),None - I don't have any concerns,Security,Hidden costs,Integration,Ease of management,"Maturity of code, features, and project",Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,Optimizing them,Lack of resources/expertise,Other (please specify),None of the above,As-a-Service on public cloud,As-a-Service on private cloud,As-a-Service on-prem,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,Other (please specify),Metrics,Logs,Traces,Profiles,Crash dumps,Events,Monitoring,Alerts,Diagnostics,Analytics,Other (please specify),Cost,Open source,Breadth and maturity of features,Complexity of deployment and use,Integration with existing tools/stack,Option to purchase commercial support,Other (please specify),None of the above,Develop a strategy,Secure budget and resources,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,Other (please specify),I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,Other (please specify)
Europe,"1,000-4,999",Software Architect,,Consulting,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,Commercial solutions,Difficult to install,,Too complex to understand or run,,,,,,,1-9,,,,Shortage of skills,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,,,Complexity,,,,,,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,Mapping and understanding dependencies and integrations,,Lack of resources/expertise,,,,,,Self-managed on public cloud,,Self-managed on-prem,,8,8,,6,6,7,7,8,8,7,,4,3,5,5,5,5,,,Develop a strategy,,Adopt tools to collect application and network telemetry data,,,"Establish a single, unified view of the technology stack/platform",Develop best practices,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
Europe,100-499,SRE / DevOps Engineer,,Telecommunications,,Only Private Cloud / On Premise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,100-499,SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,,,Jaeger,,,,,Loki,,,,,,,,,Not easy to configure to their full potential,1-9,,,,Shortage of skills,,,,,,Complexity,,,,,,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,Optimizing them,,,,,,,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,,9,9,7,4,4,7,8,8,8,8,,3,6,6,4,6,4,,,,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Asia,"More than 5,000",Software Architect,,Financial Services,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",Software Architect,,Telecommunications,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,50-99,Other (please specify),CEO,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",Full-Stack Developer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,,OpenTelemetry,,,,,,Lack of supporting documentation,,,,,,Concern open source projects could be abandoned or become inactive,,10-15,,,,Shortage of skills,,,Engineers and teams using multiple tools,Organization - presence of process and team silos,,Complexity,,,,,Integration,,"Maturity of code, features, and project",Level of support and long-term future,,,,,,,,,,,,Self-managed in private cloud,,,1,3,2,4,4,2,1,1,4,5,,2,3,1,4,2,5,,,Develop a strategy,,,,,"Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,,,
South and Central America,100-499,SRE / DevOps Engineer,,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,"More than 5,000",SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,OpenMetrics,Prometheus,Thanos,Fluentd,Jaeger,OpenTelemetry,OpenTracing,,,,,,,,,,,Concern open source projects could be abandoned or become inactive,,1-9,,,,Shortage of skills,Lack of understanding of the benefits,,Engineers and teams using multiple tools,,Lack of leadership from management,Complexity,,,,,Integration,Ease of management,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,,,,,,,As-a-Service on-prem,,,Self-managed on-prem,,1,2,3,9,9,1,1,1,5,5,,1,3,1,3,1,1,,,Develop a strategy,Secure budget and resources,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data",,"Establish a single, unified view of the technology stack/platform",,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Asia,"1,000-4,999",Engineering Manager,,Non-profit,,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,Fluentd,Jaeger,OpenTelemetry,,,,,,Lack of supporting documentation,,,,Security vulnerabilities,,Concern open source projects could be abandoned or become inactive,,1-9,,,Lack of resources,Shortage of skills,,No strategy,Engineers and teams using multiple tools,,,,,,Security,Hidden costs,Integration,Ease of management,,Level of support and long-term future,,,,Optimizing them,,,,,,,,Self-managed in private cloud,,,1,2,3,4,2,2,1,1,1,3,,3,1,2,1,3,4,,,Develop a strategy,,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
