Respondent ID,What environments do you run your applications in?,,How much is your cloud-related spend?,How much has your cloud-related spend grown in the last 12 months?,How do you monitor your cloud spend? Select all that apply:,,,,,,,How much of your cloud spend goes to Kubernetes?,What is your Kubernetes scale across all of your clusters?,What level of Kubernetes cost monitoring do you have in place?,Which of the following tools are you currently using to monitor Kubernetes spend?,,,,,,,,,,,,,,,,,,,,,,,"Have costs increased, decreased, or stayed the same since adopting Kubernetes?",How accurately can you predict your monthly cloud spend?,What’s the impact of not being able to predict monthly cloud spend? Select all that apply.,,,,,"If you cannot routinely anticipate monthly cloud spend, does that make you more or less trusting of your cloud providers?",,Have you repatriated any cloud workloads back on-premise to enterprise data centers?,"If you repatriated cloud workloads back to on-premise, why? Select all that apply.",,,,,"How likely is it that you can get your engineers, development and products teams to pay attention to cloud spend and be more strategic with it?","How important is it that engineers, development and product teams pay attention to cloud spend and be more strategic with it?",What factors are leading you to overspend? Select all that apply:,,,,,,,,,,,,What do you think would help to get overspend under control? Select all that apply.,,,,,,Where are you on your FinOps journey?
,Response,Other (please specify),Response,Response,None of the above - I don't run applications in cloud environments,Within a cost-monitoring tool’s interface,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),Cost-monitoring tool data exported to another accounting tool,Within the cloud-provided billing exploration tool,Reviewing the monthly bill,Other (please specify),Response,Response,Response,None of the above,AWS Cost Explorer,Azure Cost Management,Backstage (CNCF),Cloudability (Apptio),Cloudcheckr,CloudCustodian (CNCF),CloudHealth (VMware),Cloudwize,Crane,Datadog,Flexera Optima,GCP Cost Tools,Home grown tool,KubeCost,OpenCost,Opsani,Pileus,SoftwareOne PyraCloud,Splunk,Spot (NetApp),Spreadsheets,Other (please specify),Response,Response,Have to keep more cash on hand just in case,Have to juggle other accounts to pay the bill,Don’t put capital to use in other ways,Tend not to use the cloud where we might need so that costs don’t go over the planned budget,Other (please specify),Response,Comment,Response,Reduce costs,Increase security,Internal policies,Storage needs,Other (please specify),Response,Response,None of the above,"Overprovisioning - for example, workloads using more resources than necessary",Sprawl - such as resources not deactivated after use,Availability of a self-service infrastructure,Presence of resource-hungry workloads,Fluctuating consumption demands,Technical debt - existing workloads not re-architected for scalability of cloud,Poor planning and prediction on cloud consumption,Lack of individual or team-level awareness or responsibility,"Lack of visibility and insight into consumption, budget and spending","Absence of centralized, consistent or standardized processes and/or tools for insight and action across all our cloud providers",Other (please specify),Team and individual awareness of the need for spend discipline,Improved collaboration and communication on consumption and spend,Best practices that individuals and teams could follow and implement,"Standardized tools in resource monitoring and optimisation, forecasting and accounting",Executive-level leadership on cost control and adoption of a set of standard tools and practices,Other (please specify),Response
114467436022,AWS,,Greater than $1 million/mo,Increased > 20%,,,,Cost-monitoring tool data exported to another accounting tool,,,,26-50%,101-250 nodes,Accurate showback,,AWS Cost Explorer,,,,,,,,,Datadog,,,,KubeCost,,,,,,,,,Significantly increased,Within 25%,,,,,,,,Yes,,,,Storage needs,,Somewhat likely,Somewhat important,,,,,Presence of resource-hungry workloads,,,,,,,,,,Best practices that individuals and teams could follow and implement,,,,Nothing - haven’t started
114466571880,"One to two environments, e.g. AWS & Azure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114463662072,GCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114463633363,AWS,,Less than $10k/mo,Decreased > 20%,,,,,Within the cloud-provided billing exploration tool,Reviewing the monthly bill,,26-50%,1-50 nodes,Accurate showback,,AWS Cost Explorer,,,,,,,,,,,,,,,,,,,,,,Remained constant,Within 10%,,,,,,,,No,,,,,,Somewhat unlikely,Very important,,"Overprovisioning - for example, workloads using more resources than necessary",Sprawl - such as resources not deactivated after use,,,,,,Lack of individual or team-level awareness or responsibility,"Lack of visibility and insight into consumption, budget and spending",,,Team and individual awareness of the need for spend discipline,Improved collaboration and communication on consumption and spend,,,,,"Optimisation of our cloud utilization - tapping unused instances and right-sizing instances, for example"
114463591652,AWS,,Less than $50k/mo,Increased > 20%,,,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),,,Reviewing the monthly bill,,None of the above - I don't run applications in cloud environments on Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,Within 10%,,,,,,,,No,,,,,,Somewhat likely,Somewhat important,,,,Availability of a self-service infrastructure,,,Technical debt - existing workloads not re-architected for scalability of cloud,,,,,,,Improved collaboration and communication on consumption and spend,,,Executive-level leadership on cost control and adoption of a set of standard tools and practices,,Piloting processes and tools
114463552002,AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114448113277,Three or more environments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114444357998,AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114444081650,AWS,,Less than $250k/mo,Increased < 20%,,Within a cost-monitoring tool’s interface,,,,,,0-25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114444032523,AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114442672210,"One to two environments, e.g. AWS & Azure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
