My employer is (select one):,Which CNCF Project(s) are you currently maintaining?,Do you participate in a Technical Advisory Group?,,Do you interact with or engage with other CNCF projects outside of the ones you maintain? Which ones?,,"Would you recommend CNCF to other open source projects, and why?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)",,Did you feel that the CNCF staff responded quickly to your requests?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Do you have a good understanding of the Technical Oversight Committee and Technical Advisory Groups and know how to engage with them?,,"Do you find the metrics provided by the CNCF (DevStats, CloMonitor, Project Health) valuable for the needs of your project?",,Did you feel that the Technical Oversight Committee responded quickly to your requests?,,What project benefits are you satisfied the most with?,"If you have applied to move levels, did the process for moving levels match your expectations? Why or why not? If you haven’t applied, why not?",How do you feel about the current requests and requirements of projects moving levels or after graduation?,What services do you wish the CNCF provided that it doesn't currently?,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
Response,Open-Ended Response,Response,Comments:,Response,"If Yes, which ones?",Response,Comments:,Response,Comments:,Response,Comments:,Response,Comments:,Response,Comments:,Response,Comments:,Response,Comments:,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
A vendor of cloud technology,"Helm, ORAS, SOPS",Comments:,Tag App Delivery,Yes,"Argo CD, Kyverno",9,,2,Have not have much interaction to this date,8,,3,,9,,N/A,Have not used them. Mainly as this is the first time that I have heard of several of these tools.,7,,"Visibility within the cloud native community. By being included within the CNCF, it is similar to a stamp of approval of the legitimacy of the project",Have not applied,No issues,It would be great if there would be a project introduction for those that are onboarded as Sandbox projects as a way to learn about new projects,
An End User company (not involved in direct monetization of CNCF projects),Nocalhost,No,,Yes,Istio,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,The project has received a lot of promotion support under the CNCF Sandbox,The project maturity is still insufficient and needs to continue to develop.,I hope there will be more clear indicator data,No,No
A vendor of cloud technology,k3s,Yes,,Yes,"Kubernetes, calico,.nats Jetstream,.cillium, longhorn",Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,"I just learned that CNCF provides GitHub enterprise access for GitHub orgs for cncf projects, which is a huge benefit we're excited to use!",Strongly agree,,Strongly agree,I check devstats very regularly!,Strongly agree,,"I love devstats, and hearing that CNCF provides GitHub enterprise access is VERY exciting. Additionally, partnering with Equinix for CI hardware is super helpful",Application is in progress! Should be submitting very soon,The requirements are very reasonable,Nothing I can think of!,
A vendor of cloud technology,CRI-O,No,,Yes,Kubernetes,7,,8,,7,,7,,8,,8,,7,,Kubecon talks/marketing materials,The actual requirements were not super well documented. There were some hidden expectations that came to light late.,I think they're fair though should be documented more thoroughly,N/A,
Neither,"Operator Framework, K8s-sig/Kubebuilder",No,,Yes,"Carvel, Helm",9,,9,,Strongly agree,,Strongly agree,,5,,9,,9,,Mentorship events and opportunities,Haven't applied yet. We are looking to evaluate the requirements for moving to Graduate level.,"The current levels of graduation are achievable, and are well explained.","Creating more opportunities to interact with similar projects in the ecosystem. It would be nice to have maintainers circle or a regular meeting where every project provides a short update giving more opportunity to interact with each other. Though this is available in conferences like Kubecon, not all of the projects have a chance to be present there.",
A vendor of cloud technology,containerd,No,,Yes,etcd,8,,9,,9,,8,,7,,8,,N/A,,CI pipeline.,"I don't know what is ""move levels"" here.","To be honest, I feel good about current requirements of graduated project.",N/A,
A vendor of cloud technology,Litmus,No,,Yes,"OpenEBS, Keptn, Kyverno",Strongly agree,,Strongly agree,,Strongly agree,,9,,Strongly agree,,Strongly agree,,Strongly agree,,"We are particularly pleased with the benefits derived from CNCF's LFX mentees, which have significantly enriched our project's development. Additionally, the conferences hosted by CNCF have proven instrumental in effectively marketing our project, fostering increased visibility and engagement within the cloud-native community.","Yes, we applied to move levels, and the process aligned perfectly with our expectations. CNCF's well-defined and streamlined evaluation process ensured a seamless transition, reflecting the foundation's commitment to supporting the progression of projects within its ecosystem.","I feel positive about the current requests and requirements for projects moving levels. The process has been smooth, and there haven't been significant comments or challenges","As a maintainer, I appreciate the services provided by CNCF, but envision enhanced collaboration tools and resources for project visibility. Overall, an expansion of services to foster even greater community engagement and seamless project development would be beneficial.",
Neither,SOPS,No,,No,,Strongly agree,,N/A,,N/A,,8,,N/A,,7,,N/A,,N/A,N/A,N/A,N/A,N/A
A vendor of cloud technology,WasmEdge,No,,Yes,Kuasar,8,"With the help from CNCF, we received more contribution from outside contributors via LFX mentorship.",9,,9,,8,,N/A,,8,,N/A,,LFX mentorship,We are working on it. This is in progress.,"It's expected. For now, it's fine for us.","We would like to have powerful CI runners, including Windows, macOS(Apple Silicon), and Linux(arm64). Currently, we have to deploy a self-hosted runner with our personal machine for building, testing, and verifying the project.",
